Station,Lon,Lat,data
58527,117.12,29.18,154.0333333
58609,115.49,28.13,154.0333333
57778,112.57,27.06,154
57781,113.3,27.39,153.8333333
57792,114.41,27.49,153.7666667
57851,110.51,26.27,153.7666667
58462,121.14,31.02,153.7333333
57687,112.55,28.13,153.5666667
58620,117.08,28.58,153.5666667
58634,118.15,28.41,153.5333333
58565,121.26,29.41,153.4
58742,119.33,28.07,153.2333333
58706,115.5,27.26,153.1666667
58616,116.49,28.12,152.9
56578,102.45,27.04,152.6333333
57793,114.23,27.48,152.5
57698,114.27,28.07,152.4333333
58362,121.27,31.24,152.4333333
57773,112.49,27.52,152.2666667
58637,117.59,28.27,152.0666667
57985,113.41,25.34,152
58548,119.28,29.13,151.9666667
58453,120.38,30,151.8
56951,100.05,23.53,151.7
56664,101.16,26.38,151.6666667
57766,111.28,27.14,151.6333333
58370,121.32,31.14,151.6
58502,116,29.44,151.5666667
58457,120.1,30.14,151.4333333
58458,120.56,30.3,151.4333333
58559,120.59,29.1,151.4333333
58601,115.23,28.42,151.3
57786,113.51,27.39,151.2666667
58509,115.49,29.03,151.1333333
58514,116.03,29.27,151.1
57767,111.02,27.07,151.0666667
58710,116.03,27.46,151
57853,110.38,26.44,150.9666667
57688,113.38,28.1,150.9333333
58622,117.35,28.57,150.9333333
58459,120.17,30.11,150.8666667
57696,114.47,28.24,150.8
58713,117.04,27.43,150.7333333
58632,118.38,28.45,150.6666667
57680,113.04,28.48,150.6
57584,113.05,29.23,150.5
58600,115.22,28.52,150.3
58349,120.38,31.16,150
58631,118.3,28.54,149.8666667
59007,105.04,24.04,149.8666667
56970,102.29,23.42,149.7666667
58356,120.57,31.25,149.6
57859,110.38,26.02,149.5666667
56840,98.18,24.49,149.5
57772,112.3,27.45,149.4666667
56376,102.41,29.21,149.2666667
58365,121.15,31.22,149.2333333
58654,120.05,28.4,149.2333333
58553,120.49,30.03,149.1666667
58633,118.54,29,149.1333333
57905,105.38,25.24,149.0666667
58500,115.12,29.51,149.0666667
58556,120.49,29.36,148.8666667
58354,120.21,31.35,148.8333333
58517,116.12,29.16,148.5
58359,120.38,31.1,148.4666667
58642,119.48,28.53,148.4666667
58547,119.11,29.02,148.4333333
58259,120.53,31.59,148.1333333
58424,117.03,30.32,148.1333333
56849,99.14,24.02,147.9666667
57671,112.22,28.51,147.9333333
58460,121.21,30.45,147.9
57758,110.35,27.04,147.8333333
57673,112.53,28.41,147.8
58369,121.47,31.03,147.7666667
58546,119.53,29.28,147.6333333
57577,112.1,29.24,147.5
57499,114.58,30.06,147.4666667
56491,104.34,28.42,147.3666667
58461,121.07,31.08,147.3333333
58503,115.4,29.41,147.1
57581,113.27,29.49,147.0333333
57762,111.41,27.42,146.9
58452,120.45,30.44,146.9
58366,121.24,31.38,146.8666667
57774,112.1,27.27,146.7666667
58451,120.56,30.5,146.7333333
58543,119.01,29.37,146.7333333
57586,114.02,29.32,146.7
57662,111.41,29.03,146.6666667
58550,120.15,29.42,146.6666667
57754,110.09,27.21,146.6333333
58352,120.46,31.39,146.6333333
58464,121.05,30.37,146.5666667
58404,115.15,30.27,146.5333333
57461,111.18,30.42,146.3666667
57483,113.1,30.4,146.3666667
57658,110.12,28.01,146.2666667
57846,110.09,26.35,146.2
57353,111,30.5,146.1666667
56978,102.25,23,146.1
57564,111.08,29.26,146.1
57582,113.53,29.43,146
58555,120.53,29.31,146
57768,111.27,27.19,145.8333333
56497,104.14,28.06,145.8
57574,112.24,29.22,145.8
57678,112.33,28.15,145.7666667
57466,111.45,30.26,145.7333333
57674,112.23,28.34,145.7333333
58407,115.03,30.15,145.7333333
57608,105.26,28.1,145.7
57469,111.46,30.11,145.6666667
58358,120.26,31.04,145.5666667
57575,112.34,29.31,145.5333333
57741,109.11,27.43,145.5333333
58529,117.51,29.16,145.5333333
57841,109.4,26.34,145.4666667
57743,109.48,27.53,145.4333333
57845,109.47,26.1,145.4333333
56483,103.57,28.36,145.2333333
57498,114.53,30.27,145.2333333
57522,107.25,29.45,145.2333333
58414,116.18,30.27,145.2
56494,104.09,28.39,145.1333333
57518,106.32,29.23,145.1333333
57573,112.54,29.5,145.1
58377,121.06,31.28,145.0333333
